frame_index,file_name,background_rms,detected_sources,reference_score
0,WASP-2260811065433.fits,2.190812349319458,494,237925.9335690009
1,WASP-2260811065834.fits,2.207951784133911,586,284352.6734538979
2,WASP-2260811070235.fits,2.176017999649048,494,255786.65225414903
3,WASP-2260811070422.fits,2.1817593574523926,348,268696.0130451858
4,WASP-2260811070615.fits,2.187600612640381,396,280426.0110281095
5,WASP-2260811070915.fits,2.2172069549560547,499,273508.74601081334
6,WASP-2260811071216.fits,2.1901936531066895,418,275892.44069878553
7,WASP-2260811071516.fits,2.119084358215332,526,274014.2468572529
8,WASP-2260811071817.fits,2.2160425186157227,517,263391.119097263
9,WASP-2260811072116.fits,2.229191780090332,518,272937.2536970417
10,WASP-2260811072417.fits,2.1169703006744385,532,277249.89298132935
11,WASP-2260811072716.fits,2.216250419616699,514,266234.79530291015
12,WASP-2260811073015.fits,2.1921756267547607,536,276432.30351037794
13,WASP-2260811073315.fits,2.218721866607666,417,273845.0184154428
14,WASP-2260811073615.fits,2.114466905593872,560,275686.18208563875
15,WASP-2260811073917.fits,2.1939313411712646,552,264008.14845531114
16,WASP-2260811074216.fits,2.1734848022460938,426,266439.1709438612
17,WASP-2260811074516.fits,2.2020440101623535,479,254662.22591885139
18,WASP-2260811074816.fits,2.1977286338806152,387,263410.4490221353
19,WASP-2260811075115.fits,2.170072555541992,507,268383.24608633056
20,WASP-2260811075416.fits,2.129730463027954,411,277848.31979179505
21,WASP-2260811075716.fits,2.094616413116455,454,262434.3860156181
22,WASP-2260811080016.fits,2.2115774154663086,432,247200.85980249304
23,WASP-2260811080315.fits,2.183772563934326,322,205225.7766269996
24,WASP-2260811080616.fits,1.977226972579956,17,3023.38498588765
25,WASP-2260811080915.fits,1.9900171756744385,5,611.2911582094895
26,WASP-2260811081216.fits,2.012246608734131,31,10066.7930740071
27,WASP-2260811081516.fits,1.95756196975708,8,950.0950248519903
28,WASP-2260811081816.fits,2.013918876647949,5,483.19852520211936
29,WASP-2260811082117.fits,1.9662327766418457,8,631.0010304380586
30,WASP-2260811082415.fits,1.967651605606079,6,577.8909456266981
31,WASP-2260811082716.fits,1.8909926414489746,5,705.6737689875101
32,WASP-2260811083015.fits,2.0067241191864014,5,655.001200811091
33,WASP-2260811083315.fits,1.9413907527923584,5,673.4103679294905
34,WASP-2260811083616.fits,2.2103724479675293,3,399.8516177480381
35,WASP-2260811083917.fits,2.3937571048736572,5,506.5534969863483
36,WASP-2260811084215.fits,2.9253218173980713,10,924.1438135881032
37,WASP-2260811084515.fits,4.024568557739258,9,489.2463463841561
38,WASP-2260811084815.fits,4.498225212097168,6,386.4624919250218
39,WASP-2260811085115.fits,5.77451753616333,4,237.02276945222565
40,WASP-2260811085416.fits,6.919309139251709,3,170.80061633910586
41,WASP-2260811085716.fits,7.608273983001709,4,238.69208628611693
42,WASP-2260811090015.fits,10.45376968383789,0,0.0
43,WASP-2260811090317.fits,1.0622823238372803,1,139053.47341318158
44,WASP-2260811090618.fits,1.0622823238372803,1,139053.47341318158
45,WASP-2260811090916.fits,1.0622823238372803,1,139053.47341318158
46,WASP-2260811091215.fits,1.0622823238372803,1,139053.47341318158
47,WASP-2260811091516.fits,1.0622823238372803,1,139019.30464826335
48,WASP-2260811091816.fits,1.0622823238372803,1,139053.47341318158
49,WASP-2260811092117.fits,1.0622823238372803,1,139053.47341318158
50,WASP-2260811092416.fits,11.283860206604004,0,0.0
51,WASP-2260811092716.fits,6.906641006469727,1,35.86404346340818
52,WASP-2260811093015.fits,7.06569766998291,2,81.35045629451307
53,WASP-2260811093315.fits,4.9834442138671875,2,114.42012278203892
54,WASP-2260811093617.fits,4.609709739685059,5,246.26994654742987
55,WASP-2260811093916.fits,4.2626824378967285,3,211.17419164599156
56,WASP-2260811094217.fits,3.6785595417022705,4,214.8092949917613
57,WASP-2260811094515.fits,2.924290657043457,4,225.23654348945536
58,WASP-2260811094815.fits,2.692108154296875,4,418.46420676755656
59,WASP-2260811095117.fits,2.7526845932006836,4,275.88543926186225
60,WASP-2260811095415.fits,2.9686150550842285,2,193.82682029164243
61,WASP-2260811095716.fits,2.46480655670166,6,485.96640404064635
62,WASP-2260811100016.fits,2.2791690826416016,5,528.3597131573861
63,WASP-2260811100316.fits,3.006251335144043,3,182.68369432566809
64,WASP-2260811100616.fits,2.572643280029297,4,278.46997121898926
65,WASP-2260811100916.fits,2.2802722454071045,4,356.97099430111706
66,WASP-2260811101216.fits,2.20495343208313,2,186.59487675769836
67,WASP-2260811101516.fits,2.363748788833618,2,171.6471760281961
68,WASP-2260811101815.fits,2.2063162326812744,3,249.52244514538154
69,WASP-2260811102117.fits,2.097048759460449,3,231.49285170186207
70,WASP-2260811102416.fits,2.1399970054626465,3,250.55662616293282
71,WASP-2260811102716.fits,2.1385884284973145,4,254.0323201287864
72,WASP-2260811103015.fits,2.384894847869873,3,199.3946264380973
73,WASP-2260811103315.fits,2.505544662475586,3,189.03121205639044
74,WASP-2260811103617.fits,2.659634590148926,2,173.18285775140748
75,WASP-2260811103915.fits,2.1934168338775635,3,251.9403334203999
76,WASP-2260811104216.fits,2.1026220321655273,3,267.3353559277908
77,WASP-2260811104516.fits,2.12451171875,6,514.4690803838198
