frame_index,file_name,mjd_utc,weather,background_rms,shift_x,shift_y,registration_stars,target_flux,target_snr,comp_1_flux,comp_1_snr,comp_2_flux,comp_2_snr,comp_3_flux,comp_3_snr,comp_4_flux,comp_4_snr,comp_5_flux,comp_5_snr,comp_6_flux,comp_6_snr,comp_7_flux,comp_7_snr,comp_8_flux,comp_8_snr,comp_9_flux,comp_9_snr,comp_10_flux,comp_10_snr,bjd_tdb,ensemble_flux,differential_flux,reject_registration,reject_target_flux,reject_target_snr,reject_nonfinite_flux,reject_comparison_ensemble,reject_background,accepted,rejection_reason,hours_from_expected_mid,detrended_flux,transit_model
0,WASP-2260811065433.fits,61263.288347222224,82.0,2.190812349319458,-4.329810106748766,0.4718694401781818,1,-46.0,-2.868407867525579,5.0,0.31795799324904334,-43.0,-2.734438741941773,37.0,2.376776961965145,4.0,0.2494267710891808,-6.0,-0.37779039094240113,-1.5,-0.0737884416723465,163.5,10.29478815318043,15059.5,957.6576798667937,13213.5,630.2006915694352,26.0,1.6533815648950254,2461263.7944558966,0.0016141611070915958,-10.520636815121302,True,True,True,False,True,False,False,registration;target_flux;target_snr;comparison_ensemble,-0.35493848472833633,-10.569837702564627,0.9999987175601419
1,WASP-2260811065834.fits,61263.29134722222,82.0,2.207951784133911,-0.12112991002354079,-0.2303195016827999,11,2998.75,231.1576188549074,15230.5,968.531843235911,17670.5,851.327783237941,11582.5,736.5496913614089,14571.5,694.9687347942653,11278.0,620.9719824797584,17954.5,565.2531311812784,14673.0,554.3318406297851,10952.5,512.2212581914224,10503.0,572.487909101949,10311.0,482.2198943813518,2461263.7974558645,1.134122980901789,0.9761379240881326,False,False,False,False,False,False,True,accepted,-0.28293925523757935,0.9807029378773352,0.9999987175601419
2,WASP-2260811070235.fits,61263.29334722222,73.0,2.176017999649048,-2.0978560174374365,-4.129180074525664,11,2683.25,147.74100656045502,13076.5,823.3626745263847,14676.0,714.3862598329748,9871.0,634.0855511231878,11738.5,452.4291302923436,9417.5,508.2630009571518,15649.0,597.0869563625135,12750.5,486.4948071506313,9315.0,592.3557414229678,8886.5,565.1067414015248,9307.0,586.0158614168212,2461263.799455843,0.9693485012554026,1.021909109468476,False,False,False,False,False,False,True,accepted,-0.23493977263569832,1.0266881771195902,0.9999987175601419
3,WASP-2260811070422.fits,61263.29534722222,73.0,2.1817593574523926,-4.017340644200743,-10.451027091835613,3,525.5,33.08814174003863,2885.0,108.99252778688272,3453.0,130.4510219924111,2210.0,94.64283037735082,3099.0,90.05941704080779,1956.0,64.14675196049322,2471.0,49.62152850431912,1576.5,37.97623865410187,1394.5,57.970938713977105,5999.5,226.65534504589357,1012.0,37.862983851337646,2461263.801455821,0.20471992605355846,0.9476406458068909,False,False,False,False,True,False,False,comparison_ensemble,-0.1869403012096882,0.9520723890150635,0.9999987175601419
4,WASP-2260811070615.fits,61263.296347222225,73.0,2.187600612640381,0.40912282473729533,-16.075218090030262,11,2849.5,179.418953165062,14067.0,670.907263655144,16502.5,1039.0809877544957,10468.0,652.749859940386,13329.0,498.6914147771536,10472.0,665.9312210607964,16713.0,521.0837031516847,13677.0,474.40488803641813,9852.5,632.8971626422051,9201.0,585.1062991768896,9716.0,611.7685730660615,2461263.8024558104,1.0422807375429255,1.009287803987154,False,False,False,False,False,False,True,accepted,-0.16294055432081223,1.0140078467483031,0.9999987175601419
5,WASP-2260811070915.fits,61263.298347222226,73.0,2.2172069549560547,-1.1028683398920407,-14.401050149276728,11,2838.5,176.9994724341599,14312.5,910.1547556753866,16685.5,1050.603594678239,10658.5,684.6723580839324,13537.0,516.503682553476,10497.0,505.72353587327285,16768.0,639.7823556959951,13734.5,518.8762124398409,10155.0,633.2322151026577,9680.0,615.566674930148,9638.0,612.895827786856,2461263.8044557883,1.057398043753937,0.9910178378115851,False,False,False,False,False,False,True,accepted,-0.1149410828948021,0.9956524391146558,0.9999987175601419
6,WASP-2260811071216.fits,61263.300347222226,73.0,2.1901936531066895,-6.205657600978455,-12.938041128502448,11,2693.0,171.25217516393477,13353.5,840.8039975748923,15346.0,739.3382282091306,10086.0,635.0656471741763,12416.0,473.7319733016147,9863.5,627.2357332823879,15676.25,538.3942378191651,13097.5,490.0300701510818,9610.5,611.1470588239862,9059.25,488.9282284492782,9176.0,595.5490433567164,2461263.806455767,0.9934731914110075,1.000716998220688,False,False,False,False,False,False,True,accepted,-0.06694160029292107,1.005396958688605,0.9999987175601419
7,WASP-2260811071516.fits,61263.30234722223,73.0,2.119084358215332,-3.8297748082316048,-12.129688679428568,11,2742.5,179.87982336569803,13555.25,731.5775995459976,16117.0,1014.8079551364465,10135.0,966.7512784737163,13096.5,555.2182478114795,10289.5,485.9092784502296,15901.5,594.9389700711913,13363.5,509.88379713403094,9767.0,609.0378183070071,9427.0,593.5716692356692,9020.5,573.6280156205992,2461263.8084557448,1.016167732327303,0.9963508871491786,False,False,False,False,False,False,True,accepted,-0.018942128866910934,1.0010104290299728,0.9999987175601419
8,WASP-2260811071817.fits,61263.30434722222,73.0,2.2160425186157227,-7.766138841723148,-14.269977831945994,11,2724.5,178.69920829894048,13720.0,872.476733475375,15925.0,1002.7186626262896,10283.5,784.7330456583691,13174.5,616.1386866964523,10100.5,481.73020662179437,15997.0,610.3648821605937,13192.0,508.45040565801395,9714.5,617.7605850835663,9311.0,592.1013750283686,9175.0,433.2783546120663,2461263.810455723,1.0123582807192435,0.9935360921469966,False,False,False,False,False,False,True,accepted,0.029057353734970093,0.9981824703367983,0.9999987175601419
9,WASP-2260811072116.fits,61263.30634722222,73.0,2.229191780090332,-8.452982221282667,-12.750886148174601,11,2864.0,178.58956809985344,14399.5,906.6654557291841,16669.0,1070.770139972892,10802.0,686.9164486152333,13750.5,524.6497663405165,10706.0,500.6930646151443,16730.5,632.0622135661843,13799.5,658.1491991760261,10203.5,655.4444251732799,9571.0,608.6351906773187,9526.0,605.7735687380774,2461263.812455701,1.0594162176424802,0.9980159277696905,False,False,False,False,False,False,True,accepted,0.07705682516098022,1.0026832563916868,0.9999987175601419
