frame_index,file_name,background_rms,detected_sources,saturated_fraction_4095,usable_reference,reference_score
0,TRES-3260810060640.fits,5.584103584289551,7,0.0,True,517.4032818152676
1,TRES-3260810060916.fits,2.715162992477417,13,0.0,True,942.4616509394489
2,TRES-3260810061215.fits,3.503352642059326,7,0.0,True,524.2291566031215
3,TRES-3260810061516.fits,3.347867727279663,4,0.0,False,0.0
4,TRES-3260810061816.fits,2.4620680809020996,10,0.0,True,708.7060535146788
5,TRES-3260810062117.fits,2.3899285793304443,7,0.0,True,609.6840747691036
6,TRES-3260810062416.fits,2.245220422744751,7,0.0,True,613.6734797423038
7,TRES-3260810062715.fits,2.178553819656372,8,0.0,True,616.8379965804714
8,TRES-3260810063015.fits,2.1273722648620605,7,0.0,True,502.1696118032296
9,TRES-3260810063316.fits,2.123610019683838,6,0.0,True,467.3753085471692
10,TRES-3260810063616.fits,2.1716856956481934,4,0.0,False,0.0
11,TRES-3260810063915.fits,2.2108664512634277,5,0.0,True,540.9064335494508
12,TRES-3260810064215.fits,2.1376729011535645,6,0.0,True,633.7984517150808
13,TRES-3260810064516.fits,2.2135603427886963,4,0.0,False,0.0
14,TRES-3260810064816.fits,2.2010746002197266,7,0.0,True,750.8424579959914
15,TRES-3260810065115.fits,2.1155436038970947,5,0.0,True,585.1494335830018
16,TRES-3260810065415.fits,2.377081871032715,4,0.0,False,0.0
17,TRES-3260810065717.fits,2.074431896209717,7,0.0,True,694.3605200350588
18,TRES-3260810070015.fits,2.077625274658203,9,0.0,True,1040.647741523253
19,TRES-3260810070316.fits,2.0541582107543945,18,0.0,True,3433.0640700000604
20,TRES-3260810070616.fits,2.0004167556762695,27,0.0,True,7111.765153230685
21,TRES-3260810070915.fits,2.0031752586364746,29,0.0,True,8726.618760508007
22,TRES-3260810071217.fits,2.0121889114379883,55,0.0,True,21678.625753519187
23,TRES-3260810071516.fits,2.006819725036621,82,0.0,True,27897.6376767034
24,TRES-3260810071817.fits,2.032503366470337,66,0.0,True,25036.127793085157
25,TRES-3260810072115.fits,2.0023345947265625,110,0.0,True,42865.419759954275
26,TRES-3260810072417.fits,2.002718925476074,122,0.0,True,47008.379808981226
27,TRES-3260810072715.fits,1.9820263385772705,176,0.0,True,109667.08039062115
28,TRES-3260810073016.fits,2.0061419010162354,201,3.076923076923077e-06,True,129761.37356277101
29,TRES-3260810073315.fits,2.036177396774292,157,0.0,True,103076.22482130995
30,TRES-3260810073616.fits,1.9612005949020386,191,3.076923076923077e-06,True,123232.66779161332
31,TRES-3260810073915.fits,1.9570239782333374,240,1.5384615384615384e-05,True,135117.04284958
32,TRES-3260810074215.fits,1.9576187133789062,192,3.076923076923077e-06,True,136593.28229970887
33,TRES-3260810074516.fits,1.9953393936157227,192,0.0,True,135853.1469541382
34,TRES-3260810074815.fits,2.0051803588867188,219,9.23076923076923e-06,True,146042.7552230969
35,TRES-3260810075116.fits,2.0159692764282227,259,1.846153846153846e-05,True,156995.1967953027
36,TRES-3260810075416.fits,1.9639133214950562,223,9.23076923076923e-06,True,173667.75527097972
37,TRES-3260810075716.fits,1.9467296600341797,260,2.4615384615384616e-05,True,161539.3177386501
38,TRES-3260810080016.fits,1.9501121044158936,226,9.23076923076923e-06,True,141711.29971074764
39,TRES-3260810080315.fits,1.9782265424728394,239,9.23076923076923e-06,True,135842.08892850293
40,TRES-3260810080615.fits,2.0046606063842773,163,0.0,True,118975.90829475572
41,TRES-3260810080915.fits,1.9567700624465942,213,6.153846153846154e-06,True,124837.67260673242
42,TRES-3260810081216.fits,2.022063732147217,236,1.2307692307692308e-05,True,159385.93281524323
43,TRES-3260810081515.fits,1.9531502723693848,262,2.7692307692307694e-05,True,172827.34395868413
44,TRES-3260810081815.fits,2.0345091819763184,226,1.2307692307692308e-05,True,182748.48888935763
45,TRES-3260810082115.fits,1.965207815170288,293,3.692307692307692e-05,True,202130.67259321877
46,TRES-3260810082417.fits,1.9436376094818115,300,4.307692307692308e-05,True,204844.8448985655
47,TRES-3260810082715.fits,2.0015876293182373,299,3.692307692307692e-05,True,186591.06249271167
48,TRES-3260810083015.fits,2.031898260116577,267,2.4615384615384616e-05,True,180151.98446165217
49,TRES-3260810083315.fits,2.0244972705841064,218,1.2307692307692308e-05,True,160782.4538801042
50,TRES-3260810083615.fits,2.0038633346557617,227,9.23076923076923e-06,True,133400.3004716822
51,TRES-3260810083916.fits,2.0369129180908203,176,0.0,True,138201.06162113775
52,TRES-3260810084215.fits,2.0159096717834473,166,0.0,True,92630.87665945466
53,TRES-3260810084516.fits,1.974706768989563,201,0.0,True,106332.15886009579
54,TRES-3260810084816.fits,2.0408036708831787,178,0.0,True,99769.3431409395
55,TRES-3260810085117.fits,1.9846936464309692,168,0.0,True,101796.24895438517
56,TRES-3260810085416.fits,2.0314650535583496,139,0.0,True,70331.11663780714
57,TRES-3260810085717.fits,2.0225634574890137,152,0.0,True,76219.70849554522
58,TRES-3260810090015.fits,2.031909465789795,172,0.0,True,90117.32777749487
59,TRES-3260810090708.fits,2.021932601928711,105,0.0,True,39960.40591090253
60,TRES-3260810091249.fits,2.018397808074951,78,0.0,True,37691.535892170046
61,TRES-3260810091436.fits,2.033857583999634,107,0.0,True,41054.07567119705
62,TRES-3260810092014.fits,2.047757625579834,119,0.0,True,51651.80908328616
63,TRES-3260810092552.fits,2.008577585220337,121,0.0,True,64791.470567630335
64,TRES-3260810093318.fits,2.0224852561950684,164,0.0,True,82514.80492538062
65,TRES-3260810093856.fits,1.9977686405181885,153,0.0,True,81650.89611634647
66,TRES-3260810094042.fits,2.0163466930389404,147,0.0,True,80511.14094772353
67,TRES-3260810094809.fits,2.0519721508026123,175,0.0,True,92246.77104011517
68,TRES-3260810094956.fits,2.0559349060058594,158,0.0,True,73588.75115548538
69,TRES-3260810095534.fits,2.043821334838867,170,0.0,True,92884.80659529971
