frame_index,file_name,mjd_utc,weather,background_rms,shift_x,shift_y,registration_stars,target_flux,target_snr,comp_1_flux,comp_1_snr,comp_2_flux,comp_2_snr,comp_3_flux,comp_3_snr,comp_4_flux,comp_4_snr,comp_5_flux,comp_5_snr,comp_6_flux,comp_6_snr,comp_7_flux,comp_7_snr,comp_8_flux,comp_8_snr,comp_9_flux,comp_9_snr,comp_10_flux,comp_10_snr,bjd_tdb,ensemble_flux,differential_flux,reject_registration,reject_target_flux,reject_target_snr,reject_nonfinite_flux,reject_comparison_ensemble,reject_background,accepted,rejection_reason,hours_from_expected_mid,detrended_flux,transit_model
0,TRES-3260810060640.fits,61262.25534722222,0.0,5.584103584289551,-45.45381339879509,-12.01139414059665,0,6.0,0.1430810969620695,4.0,0.11012094032270942,34.0,1.1033493610575609,7.5,0.20647676310508015,90.5,2.543944370037089,23.0,0.5430736869797016,34.5,0.7171019668813948,40.0,0.847887981997449,45.75,1.1020697230733654,-2.0,-0.06558972593097467,17.0,0.4587454747157728,2461262.7579711163,0.004907504166932218,1.6002845589575077,True,False,True,False,True,True,False,registration;target_snr;comparison_ensemble;background,-1.6115391254425049,1.2119967086276149,0.9258993391826753
1,TRES-3260810060916.fits,61262.256347222225,0.0,2.715162992477417,-45.45381339879509,-12.01139414059665,1,39.0,1.8600542605069037,9.5,0.457690158216261,28.0,1.3629609754240457,-31.5,-1.5176042088223392,22.0,1.082230477861082,16.0,1.0074410425130695,32.5,1.5199443863246955,30.0,1.4308109696206952,-12.0,-0.5781349366942244,11.5,0.5657113861546564,1.5,0.07083569830170021,2461262.758971079,0.0025939469231852624,19.679323413512392,True,False,True,False,True,True,False,registration;target_snr;comparison_ensemble;background,-1.5875400267541409,14.93433501368502,0.9219436669994655
2,TRES-3260810061215.fits,61262.25934722222,0.0,3.503352642059326,-43.49970645290887,-9.366037796101082,0,32.0,1.0074410425130695,18.5,0.7280459578338189,-17.5,-0.8264164801865025,2.5,0.09735435538743185,10.5,0.39667991048952117,-35.5,-1.3281975560498878,21.0,0.7933598209790423,26.5,1.02137172149313,21.0,0.7856943289309195,-13.0,-0.49112750822512147,32.5,1.2159555090597565,2461262.761970966,0.0027222607854840613,15.386041255587832,True,False,True,False,True,True,False,registration;target_snr;comparison_ensemble;background,-1.5155427306890488,11.747018789759311,0.910076650449836
3,TRES-3260810061516.fits,61262.26134722222,0.0,3.347867727279663,-43.49970645290887,-9.366037796101082,0,52.5,2.4792494405595074,18.5,0.7280459578338189,4.0,0.15111615637696046,-4.5,-0.21904729962172165,-68.0,-3.2112183230104097,33.5,1.2533695247231336,-10.0,-0.37779039094240113,-18.5,-0.8912913607369294,-4.0,-0.14965606265350848,-24.5,-1.1569830722611034,-3.5,-0.13094905482181993,2461262.7639708905,-0.0009559384138925234,-71.88462822317015,True,False,True,False,True,True,False,registration;target_snr;comparison_ensemble;background,-1.4675445444881916,-55.10559392650088,0.902165307925489
4,TRES-3260810061816.fits,61262.26334722222,0.0,2.4620680809020996,-43.49970645290887,-9.366037796101082,0,-10.5,-0.661133184149202,39.0,2.557999311308012,-3.5,-0.220377728049734,-36.5,-2.368955981094175,18.0,1.1333711728272033,4.5,0.2806051174753284,-30.0,-1.4167139660340042,-53.0,-2.5534293037328246,-2.0,-0.1247133855445904,-46.5,-2.1959066473527065,15.5,0.9665287379705755,2461262.7659708154,-0.00044340482807289346,30.995277063430727,True,True,True,False,True,True,False,registration;target_flux;target_snr;comparison_ensemble;background,-1.4195463471114635,23.857295950662554,0.9000000037843464
5,TRES-3260810062117.fits,61262.26534722222,0.0,2.3899285793304443,-43.49970645290887,-9.366037796101082,0,15.0,0.9444759773560027,12.5,0.8198715741371834,18.0,0.8500283796204026,4.5,0.29206306616229555,19.5,1.2278187705628036,-2.5,-0.1169187989480535,1.0,0.06296506515706685,-4.5,-0.2890674683471122,8.0,0.4988535421783616,12.0,0.7555807818848023,7.5,0.46767519579221395,2461262.7679707403,0.001988114901689594,9.87543920963404,True,False,True,False,True,True,False,registration;target_snr;comparison_ensemble;background,-1.3715481497347355,7.632298804190027,0.9000000037843464
6,TRES-3260810062416.fits,61262.26734722222,0.0,2.245220422744751,-43.49970645290887,-9.366037796101082,0,13.5,0.8500283796204026,17.0,1.1150253408265693,-10.5,-0.661133184149202,-0.5,-0.04867717769371592,6.0,0.37779039094240113,45.5,2.8372295211394314,-29.0,-1.8259868895549387,-36.5,-2.3446583543710213,-19.0,-1.1847771626736088,-7.0,-0.330566592074601,17.5,0.8184315926363744,2461262.769970665,-0.0007150302883212017,-24.712459537273677,True,False,True,False,True,True,False,registration;target_snr;comparison_ensemble;background,-1.3235499523580074,-19.177652077954217,0.9000000037843464
7,TRES-3260810062715.fits,61262.26934722222,0.0,2.178553819656372,-43.49970645290887,-9.366037796101082,0,2.0,0.1259301303141337,19.5,1.278999655654006,12.0,0.7555807818848023,-5.5,-0.35696596975391676,-23.5,-1.479679031191071,-0.5,-0.0311783463861476,16.5,1.038923575091603,19.0,1.220507088576696,2.0,0.1247133855445904,26.5,1.6685742266622716,38.5,2.400732671733365,2461262.7719705896,0.002463486600360342,1.062640668204773,True,False,True,False,True,False,False,registration;target_snr;comparison_ensemble,-1.2755517661571503,0.8280446312876741,0.9000000037843464
8,TRES-3260810063015.fits,61262.271347222224,0.0,2.1273722648620605,-43.49970645290887,-9.366037796101082,0,5.5,0.5194617875458015,-5.5,-0.36074349262036065,20.5,1.2907838357198704,5.5,0.35696596975391676,29.5,1.8574694221334722,-22.5,-1.403025587376642,-6.0,-0.37779039094240113,-6.5,-0.41754189872360653,-8.0,-0.4988535421783616,-34.0,-2.140812215340273,39.5,2.4630893645056604,2461262.7739705145,-0.0011579393260207121,-6.217038076010887,True,False,True,False,True,False,False,registration;target_snr;comparison_ensemble,-1.2275535687804222,-4.864588176321852,0.9000000037843464
9,TRES-3260810063316.fits,61262.273347222224,14.0,2.123610019683838,-43.49970645290887,-9.366037796101082,0,3.5,0.220377728049734,24.0,1.574153422343392,12.5,0.7870633144633357,2.5,0.16225725897905308,5.0,0.3148253257853343,-13.5,-0.8418153524259852,-34.0,-2.140812215340273,-32.5,-2.087709493618033,-14.0,-0.8729936988121327,-11.0,-0.6926157167277354,41.5,1.9408520625376882,2461262.7759704394,-0.0008551673487243391,-5.357023791067887,True,False,True,False,True,False,False,registration;target_snr;comparison_ensemble,-1.1795553714036942,-4.209095885289155,0.9000000037843464
