source_id,ra,dec,g_mag,x_ref,y_ref,reference_flux,reference_snr
2244837675998375296,302.6325603810151,64.84067541959648,10.120348930358888,528.5670331792643,424.4178909197208,12435.71484375,775.5654332617553
2244877052258656256,302.92796957109704,65.27299145928072,10.399821281433104,438.7221744027466,123.64839411103036,10552.279296875,663.9070287069493
2244807748666330880,304.16361051547824,64.84857256238712,10.521644592285156,74.46984438255636,419.0141968695157,9690.0869140625,630.5071669123417
2244829601456716032,303.61981430685364,65.12912678151815,10.88245677947998,236.3369910358798,224.48883654751648,6824.328125,426.42718083965934
2244878838965053568,303.2172203174103,65.24352944619986,10.917946815490724,354.313893224172,144.66906753191284,6428.39306640625,402.832530695433
2244848499314991104,302.49808607790624,65.00016365136385,10.613944053649902,566.8389949605604,312.5910062772857,8080.32958984375,387.7451973513743
2244975149306762112,303.4610501605071,65.38432103404524,12.716209411621094,283.1643882830692,46.41199752827515,5932.578125,374.1480800232501
2244975149306762240,303.4618167434624,65.38451028937392,11.266511917114258,282.9416170413289,46.27951749542882,5894.580078125,369.5516176183714
2244868084366089216,302.32248466139504,65.26591945855685,11.005045890808104,615.5526057317346,126.29967230138584,6014.0986328125,369.4774916778783
2244803591137956352,303.7424025514517,64.79465929723753,11.401395797729492,199.25515065373,457.78465835659154,3667.045654296875,335.4067716839661
