frame_index,file_name,mjd_utc,weather,background_rms,shift_x,shift_y,registration_stars,target_flux,target_snr,comp_1_flux,comp_1_snr,comp_2_flux,comp_2_snr,comp_3_flux,comp_3_snr,comp_4_flux,comp_4_snr,comp_5_flux,comp_5_snr,comp_6_flux,comp_6_snr,comp_7_flux,comp_7_snr,comp_8_flux,comp_8_snr,comp_9_flux,comp_9_snr,comp_10_flux,comp_10_snr,bjd_tdb,ensemble_flux,differential_flux,reject_registration,reject_target_flux,reject_target_snr,reject_nonfinite_flux,reject_comparison_ensemble,reject_background,accepted,rejection_reason,hours_from_expected_mid,detrended_flux,transit_model
0,CoRoT-2260816044002.fits,61268.19434722223,86.0,2.7195279598236084,22.14755237620875,17.496655630351313,1,-32.5,-1.2400361736712693,41.5,2.6130502040182746,112.0,6.296613689373569,-12.0,-0.5666855864136017,-225.0,-4.518350430381142,0.5,0.013492513962228612,210.5,13.806637308470167,-15.0,-0.9538739797471301,-124.0,-4.684600847685774,127.5,8.028045807526023,248.0,10.513810976768367,2461268.6998678744,0.0016920647317618478,-11.199593586500841,True,True,True,False,True,False,False,registration;target_flux;target_snr;comparison_ensemble,-1.7153070196509361,-11.029620497355506,1.0
1,CoRoT-2260816044215.fits,61268.19634722223,86.0,2.7129197120666504,23.660752191485912,19.514062257011545,10,1848.0,86.42637618240114,13323.0,423.61543440570046,12582.0,679.0512426910416,9467.0,451.516248313304,8633.5,543.6088900335367,10822.5,688.2200763875544,11120.5,360.87636969531195,9257.5,364.31813268359883,9567.0,357.9398878515289,5567.5,265.53466911210734,5602.0,356.24013563622816,2461268.701867785,1.0641604564311566,1.0125832189084663,False,False,False,False,False,False,True,accepted,-1.6673091687262058,0.9972488765967584,1.0
2,CoRoT-2260816044515.fits,61268.19834722222,86.0,2.688967227935791,17.463800448685845,19.841463002272775,9,1786.75,98.37929506080052,12743.0,501.48592652304615,12211.5,768.8978931655219,9156.5,441.14104565338886,8241.0,524.0583644730733,10429.0,497.397586739141,14512.0,553.7047677636141,9099.5,381.9670735978199,9299.5,439.1577175711074,5523.5,344.4271925277725,5465.5,258.10167271196167,2461268.7038676953,1.033437635197806,1.0081273404509443,False,False,False,False,False,False,True,accepted,-1.6193113178014755,0.9928936815323091,1.0
3,CoRoT-2260816044815.fits,61268.20034722222,86.0,2.7052574157714844,13.24993761559788,21.191869660453378,10,1715.0,81.7946937633164,12277.5,579.7901905994163,11834.0,558.8464358015469,8885.0,559.444603920539,7823.5,502.55985302525164,9837.0,464.54050946255,14649.5,461.20336100922543,8694.5,368.59810297384104,8910.5,424.97470482684014,5221.5,335.41461910543256,5252.5,337.40597277626824,2461268.7058676057,0.9879558244333184,1.0121910061855144,False,False,False,False,False,False,True,accepted,-1.5713134668767452,0.996929282435093,1.0
4,CoRoT-2260816045115.fits,61268.20234722222,86.0,2.708735227584839,13.686798028798567,19.735166675935602,10,1864.5,118.56653568256827,13160.5,497.191043999747,12393.0,585.2445393686471,9347.0,504.45811201980337,8436.5,536.4905220091108,10624.0,501.7056391715087,14414.5,549.9846592426003,9281.0,350.6272618336425,9553.5,607.5223377009471,5611.5,356.84425582340134,5579.5,263.4851857828909,2461268.707867516,1.0543984814748064,1.031082679615737,False,False,False,False,False,False,True,accepted,-1.523315615952015,1.0155700740834868,1.0
5,CoRoT-2260816045416.fits,61268.20434722222,86.0,2.716700553894043,8.711390397314926,20.256213557112318,10,1792.0,84.62504757109785,12992.0,486.08289149859553,12127.0,578.3814876196723,9314.0,580.7902364811574,8312.5,523.3971041181182,10397.0,500.9057447341543,13791.0,438.4958684897557,9189.0,385.72398915219156,9403.5,453.04098976701164,5464.5,351.0242623961766,5496.5,259.56561047686347,2461268.7098674267,1.0411232685728997,1.0036255943217445,False,False,False,False,False,False,True,accepted,-1.4753177650272846,0.9885591426382686,1.0
6,CoRoT-2260816045716.fits,61268.20634722222,86.0,2.7064123153686523,10.59332566503031,23.424394745810332,10,1761.0,83.9886039167348,12537.0,483.2051800890328,11878.0,560.9242829517301,9045.5,493.0438333601523,8065.5,512.8980389100318,10183.5,480.90355577024275,13628.75,468.07370823238637,8781.0,345.56603003993314,9116.0,439.1898402420458,5327.5,338.7842418068557,5362.0,253.21400952914436,2461268.7118673366,1.0093374467889435,1.0173229584427723,False,False,False,False,False,False,True,accepted,-1.4273199252784252,1.0020843979600467,1.0
7,CoRoT-2260816050015.fits,61268.209347222226,86.0,2.599505662918091,6.34113834193235,22.482472007339794,10,1481.5,95.16743430138817,10431.5,497.5168209866094,9866.5,475.34736274113044,7524.5,358.871238030364,6582.0,414.436058863814,8422.0,393.87604989620263,12561.5,605.186833940375,7210.5,463.18244011485615,7570.0,361.04130133428873,4410.5,280.47074584498114,4445.0,211.99849199879966,2461268.714867202,0.8366122217195493,1.0325553154434297,False,False,False,False,False,False,True,accepted,-1.3553231544792652,1.0171396198668783,1.0
8,CoRoT-2260816050315.fits,61268.211347222226,96.0,2.539708137512207,6.201972278804256,16.623558274038658,9,1312.5,82.64164801865024,9014.5,425.6989348937844,8667.0,556.7439440365381,6585.0,314.0630078317426,5983.5,380.5003305211302,7321.5,456.5445261323593,9974.5,485.53050890596944,6537.0,308.7019731988095,6575.0,310.49647755578593,4034.5,254.03255537618622,3848.0,244.70047160446376,2461268.716867112,0.7403182658085686,1.0337528571081782,False,False,False,False,False,False,True,accepted,-1.3073253147304058,1.0183533459986844,1.0
9,CoRoT-2260816050615.fits,61268.21334722223,96.0,2.6767427921295166,3.3841350476333645,17.447023407375696,9,1602.0,76.40530577774511,11490.5,548.0244482142199,10836.0,527.4658974891057,8286.0,447.19588276410514,7422.0,476.76861112717046,9436.0,441.2983147495331,12546.0,483.55206105104935,8164.5,314.67884604266635,8269.0,398.3831492937118,4942.0,314.26968052735447,4869.0,316.01223758760375,2461268.7188670225,0.9287554175733974,1.0057661785840308,False,False,False,False,False,False,True,accepted,-1.2593274638056755,0.9908167201454001,1.0
10,CoRoT-2260816050915.fits,61268.21534722222,96.0,2.5600719451904297,1.6022159927169035,15.439103591509124,10,1417.5,90.1410910861038,10053.25,553.5366716496392,9160.5,582.5308394315723,7064.0,449.21105286224844,6282.5,403.5703044201628,8108.0,382.8905612201236,10336.5,488.1287969970162,6820.0,335.4914481369354,7242.0,348.90443429496446,4077.5,259.29474349459485,4202.0,264.5792037899949,2461268.7208669325,0.7920626469127152,1.0435167160912477,False,False,False,False,False,False,True,accepted,-1.211329624056816,1.028040532731824,1.0
11,CoRoT-2260816051215.fits,61268.21734722222,96.0,2.5349268913269043,1.5831883099832673,14.69096703891124,10,1339.5,83.52678996848941,9497.0,452.9470592829247,9245.5,587.936125316806,6962.0,438.3627836234994,6348.0,407.777842014993,7732.0,491.69024076032065,10643.0,406.08323065794826,6878.5,331.39176350426857,6951.5,378.90599829783855,4286.0,267.2607852220572,3999.5,190.75094909993234,2461268.7228668425,0.7822724404157747,0.9984367623472596,False,False,False,False,False,False,True,accepted,-1.1633317843079567,0.9836620568276007,0.9959387918503334
12,CoRoT-2260816051515.fits,61268.21934722222,96.0,2.45202374458313,3.5937308583021306,13.307837034123665,10,1023.5,65.08600121807918,7363.5,468.25673665786616,7004.0,334.04666770744495,5349.5,291.5856488375584,4839.0,301.74403632513645,5982.5,373.048914510256,8537.5,407.18495510455614,5244.5,252.66905629107168,5375.5,258.98036268331697,3214.0,202.36971941481286,3182.5,200.38631986236527,2461268.7248667525,0.5998559183822194,0.9948939147336779,False,False,False,False,False,False,True,accepted,-1.1153339445590973,0.9802044273787074,0.9918775598720159
