source_id,ra,dec,g_mag,x_ref,y_ref,reference_flux,reference_snr
4287762406780828416,291.9419587639341,1.12224438495614,9.982994079589844,42.614845299726646,316.17336132601866,13826.3017578125,627.7723211489923
4287806009289486720,291.4646668773177,1.2822541343379208,10.005884170532228,374.84134295866846,202.55135981360723,13154.94921875,622.875810575428
4287812125324703872,291.452829646466,1.3930237078582792,10.35449504852295,382.6769721740583,125.18289066902896,9966.6650390625,618.8438707265562
4263764019323337728,291.300510167284,0.9670002935561848,10.45549488067627,490.6290032437642,421.9205201069045,8985.90234375,565.6813997916524
4287762269341875968,291.92118181390595,1.1010330200371965,10.267372131347656,57.19296729668769,330.88298786220173,11172.6904296875,534.5840047432752
4263777140417233664,291.2451532372033,1.0475500787837355,12.941411018371582,528.8557798474392,365.5088892523365,12463.296875,482.80039574341794
4287780720521799936,291.41375218126603,1.0155290581695848,10.257671356201172,411.45061953645234,388.4875843260784,9971.9150390625,464.95786924658694
4287742168893860480,291.8288418586488,1.1107515002371615,10.463229179382324,121.56724764136894,323.7133584276148,9944.3466796875,377.03523827258874
4263778416053903488,291.18430553393586,1.096996436518652,11.107683181762695,571.0531895255879,330.77715563835136,5906.7470703125,371.12085550628467
4287817382363829760,291.85619303450136,1.3457258377494523,10.510732650756836,101.60663595267684,159.86484171844745,5896.8857421875,358.7337120752303
