source_id,ra,dec,g_mag
2188725611903957120,306.50664766557,60.01185348239,8.10105
2194752000775893120,306.29230002063,60.43417772307,8.216146
2236818491019682816,304.41209330442,60.306464264,8.233937
2194749836112289280,306.2136007627,60.3537611861,8.235143
2188611743730192384,306.56047574901,59.11781019605,8.409589
2188744818997840128,306.13256809249,60.28725969811,8.523536
2188624628633708672,306.63757621247,59.35601496979,8.53218
2188682112474410752,305.91456391914,59.491584214,8.612143
2188695925089486720,305.80820956218,59.77751436284,8.614492
2236657172048896768,304.3762239416,59.74097344956,8.634418
2188623426041305984,306.40254978618,59.31550966822,8.666432
2188432111019248640,306.82542903807,59.22487058835,8.711454
2236681326944503424,303.7106064312,59.6254810883,8.715189
2236311684879590016,303.05026395164,59.42974555867,8.715671
2188614939185753600,306.23954094014,59.16506082041,8.745446
2236795847953529216,305.17251815095,60.42254283531,8.751716
2188479248280513920,305.87673094692,58.4924936407,8.797973
2188729013517870336,306.14406595912,60.07904366518,8.808623
2236706169035619968,304.0070656069,59.75444442754,8.810405
2236702492543309824,303.18762600826,59.85345371616,8.81161
2236684384961215104,303.67682377636,59.66877752574,8.829279
2188594288983103104,305.1847680444,59.32163706227,8.896979
2236638823948546688,304.75468015906,59.49640367514,9.019914
2188463962495854592,307.22727873593,59.44815913499,9.077847
2188741073786200832,306.11194840119,60.11804140636,9.109217
2236890990067935232,303.18105086289,59.93151966582,9.129823
2188629129757784576,306.25123271296,59.28356626667,9.145681
2236207299993862016,303.5042217562,58.73053720816,9.151402
2188151220156691328,303.88129394519,58.51218186984,9.166041
2236917240904851968,303.31254287138,60.1096827825,9.177657
2236711838392524800,303.79670225044,59.89535254376,9.202643
2188572848505984256,304.66566080335,59.22832138126,9.206327
2236663288082418688,304.47357255694,59.79277771429,9.209701
2236729464934846976,303.44913502693,60.09636798337,9.21619
2194661222346957952,307.33073056613,59.76186528425,9.219308
2236610786401687552,304.49780630321,59.24256570933,9.219896
2188308209802421120,306.87658029329,58.64830876955,9.253638
2236228362514000768,303.83743527176,58.97268207675,9.253792
2188324771196092544,306.31881296028,58.76912186846,9.29017
2236218226390870656,303.79266578311,58.72414579507,9.290235
2236684865997549312,303.56832850934,59.65207381261,9.290653
2194686682913291008,306.90583695217,60.22550630775,9.302285
2188714891665190016,306.2651761881,59.76066623392,9.30876
2236803304015905664,305.45452394065,60.51369606379,9.311786
2236703076658955904,303.24670133866,59.90246010375,9.338603
2188586420603211776,305.60500813428,59.33913771689,9.355495
2188485162453736960,305.75312259808,58.67966371676,9.381054
2236685621911885312,303.6192162538,59.7391826911,9.452861
2188672457388603904,306.88311531209,59.77587084761,9.456047
2236663253722588672,304.46986255249,59.78446879301,9.48489
2188674622052329600,306.82051572905,59.95131531921,9.511819
2236735924569466368,303.8797190043,60.2755490731,9.53173
2236288934433634944,303.05805149875,59.12430535427,9.54127
2188300547580309504,306.52580672467,58.48219570265,9.541776
2236604429849907584,304.32951439059,59.17250696179,9.572218
2236213484746805888,303.82161296052,58.5826546066,9.645972
2188481898278414848,305.68325431993,58.53682828543,9.671738
2188170873928530176,304.12641947953,58.49228970985,9.676333
2236720806284509824,304.05577929991,60.11581063417,9.679513
2188589753497828352,305.53502080288,59.39709139747,9.687668
2188726196019606400,306.59030989243,60.07625133514,9.718
2188524092037465216,305.6706908,58.89379127498,9.718062
2188539313402451456,304.98897309971,58.65731112191,9.727923
2188607861079922688,305.04937104895,59.57311590728,9.737737
2188624353754329856,306.54885214549,59.34152471276,9.753516
2188512856403235072,306.22503337644,58.83046604367,9.754807
2188713173678129536,305.5483145711,59.94115901047,9.795685
2236851476368856832,304.7298094047,60.59896594527,9.810281
2236740425695247744,303.75157707948,60.36294607005,9.856285
