source_id,ra,dec,g_mag,x_ref,y_ref,reference_flux,reference_snr
2188594288983103360,305.18595147548,59.32158497561,14.209443,390.7458605843676,289.4518424782402,35647.4296875,1714.8502927760098
2188687060276723456,305.6270669174,59.58403232307,13.433424,233.53613753287257,107.09295480726507,10372.0498046875,496.55091527408126
2188589616059645440,305.61332137031,59.39396138564,11.230948,238.57656303540503,239.66891775824183,7768.86962890625,477.245008200575
2188589616056627328,305.61354905419,59.39406928949,11.23371,238.49559742480395,239.5937641398548,7769.0986328125,475.8820232168106
2188687575672797696,305.65553791576,59.61955052596,11.840319,223.46252421540063,82.32716973801308,5535.5009765625,341.50614222899105
2188687575668512640,305.65867787416,59.61576797508,11.28153,222.35672149119,84.96649211373165,5373.3134765625,334.38096941573
2188593636148931328,305.07545884451,59.25434660114,11.046859,430.5134479089971,336.0109533582718,4480.9345703125,307.514613633401
2188580510727928960,305.27340522279,59.16606069521,11.3437,360.328728555976,398.1580318079812,3350.301025390625,301.28677057989864
2188690496250845440,306.11264489685,59.6484342691,11.101758,62.32548614320473,61.746610759284295,4677.3837890625,283.5155401422396
2188682181193887104,305.90131346153,59.49417450485,13.880737,136.50170382806752,169.68837706921624,8970.322265625,278.2382638312412
