source_id,ra,dec,g_mag,x_ref,y_ref
2188682112474410752,305.91456391914,59.491584214,8.612143,131.8040842654914,171.48101521010216
2188695925089486720,305.80820956218,59.77751436284,8.614492,169.77100267244407,-27.882905590155133
2236657172048896768,304.3762239416,59.74097344956,8.634418,673.0514159671739,-7.045371819495017
2188623426041305984,306.40254978618,59.31550966822,8.666432,-42.29132584431227,293.1250435013121
2188614939185753600,306.23954094014,59.16506082041,8.745446,14.896037487056958,398.6054503977197
2188594288983103104,305.1847680444,59.32163706227,8.896979,391.1667423794227,289.41221072341085
2236638823948546688,304.75468015906,59.49640367514,9.019914,542.4804145924238,165.82256128663494
2188629129757784576,306.25123271296,59.28356626667,9.145681,11.392116857843689,315.90791610512764
2188572848505984256,304.66566080335,59.22832138126,9.206327,576.9221803197433,352.32763662797026
2236663288082418688,304.47357255694,59.79277771429,9.209701,638.1682572199957,-42.515924500853885
2236610786401687552,304.49780630321,59.24256570933,9.219896,636.6380939938509,341.3813926536662
2188714891665190016,306.2651761881,59.76066623392,9.30876,9.217350174809553,-16.93262900993875
2188586420603211776,305.60500813428,59.33913771689,9.355495,241.58742609506473,277.9063374401294
2236663253722588672,304.46986255249,59.78446879301,9.48489,639.577891230948,-36.74504309163126
2236604429849907584,304.32951439059,59.17250696179,9.572218,697.6755016337736,389.07663720122
2188589753497828352,305.53502080288,59.39709139747,9.687668,266.3786755224069,237.43011876415613
2188524092037465216,305.6706908,58.89379127498,9.718062,218.39132524173675,588.5905133079036
2188607861079922688,305.04937104895,59.57311590728,9.737737,437.61900648331795,113.577665009633
2188624353754329856,306.54885214549,59.34152471276,9.753516,-94.14251782468205,274.3781277103376
2188713173678129536,305.5483145711,59.94115901047,9.795685,260.75417325166615,-142.07403673319095
2188663455138115584,306.46177327251,59.63064284119,9.862034,-60.87896467158572,73.07915006743985
2236616627557291008,304.44654063482,59.42461333997,9.892459,652.5183102977895,214.0767812515274
2188719049193516544,306.02558643969,59.83293712033,9.974185,93.62907161387051,-66.78808410332022
2188690530606504448,306.06217350446,59.65566186615,9.979798,80.14284198685834,56.807229176055785
2188577315272264320,305.35300041133,59.14308818476,9.995796,331.9569270626026,414.35084609477144
2188581953836934656,305.26702493717,59.25110240982,10.023838,362.2177419008132,338.8236101300225
2188570408964474752,304.57271750238,59.10529748213,10.051897,611.5505391461243,437.59086332220045
2188687163357463808,305.62820053295,59.5877355137,10.08212,233.1327514262351,104.51028788262158
2188590543771807744,305.49004923341,59.39964627248,10.167722,282.34256080842863,235.60134725036966
2188549002848738176,305.13833759205,58.88711496918,10.181875,410.2802098226948,592.3732044307915
2188623357321826688,306.35268447502,59.32222789684,10.189563,-24.4947562299717,288.6173600256666
2188549518244815872,305.26432855407,58.86970810566,10.225245,364.9485244041033,604.8609699876608
2188576524999255552,305.46654613154,59.09668596949,10.238968,291.45099601890917,446.9007060678159
2236650574980231680,304.64902878485,59.73694755733,10.316316,577.2168594707912,-2.513298463866306
2188510897898934016,305.842574273,58.80639669248,10.352439,156.32169519507465,649.5153216904707
2188711524412016128,305.48548943157,59.89285323145,10.363299,282.8174843458793,-108.43899260126318
2188517563688221952,306.00154594829,58.90284293188,10.372682,99.18161207011298,582.050434192312
2236745339136525184,304.97645221465,59.79720781391,10.387165,461.6612025808161,-42.99712444748309
2188551339310969856,305.16538699352,58.98076567089,10.395138,399.9989397548405,527.1265569490898
2188641499263752320,306.08704375852,59.55516019576,10.41,70.97760174091223,126.86354019151685
2188576043962891520,305.3974632276,59.07047130849,10.492027,316.28517993584325,465.08446474392196
2188637719694019840,306.42276890564,59.46979185893,10.50843,-48.33065175812294,185.43135620856611
2188597243921457792,304.83804285767,59.33457485586,10.508699,514.440876595088,279.09915554738456
