frame_index,file_name,background_rms,detected_sources,reference_score
39,CoRoT-2260809071516.fits,2.826586961746216,768,150397.6361129984
40,CoRoT-2260809071816.fits,2.7922511100769043,612,155692.12409971352
41,CoRoT-2260809072115.fits,2.835508346557617,642,151748.2822854214
42,CoRoT-2260809072417.fits,2.731893539428711,848,157445.13474909918
43,CoRoT-2260809072715.fits,2.7380857467651367,768,158138.60827678398
44,CoRoT-2260809073016.fits,2.741102933883667,821,155485.84434138972
45,CoRoT-2260809073316.fits,2.738421678543091,850,154000.633341439
46,CoRoT-2260809073616.fits,2.852088212966919,554,145967.9168937996
47,CoRoT-2260809073916.fits,2.775853157043457,708,150684.63311520658
48,CoRoT-2260809074215.fits,2.7527129650115967,847,150522.08130063838
49,CoRoT-2260809074515.fits,2.7584526538848877,751,149911.18682077952
50,CoRoT-2260809074817.fits,2.7750558853149414,615,150763.72468337792
51,CoRoT-2260809075115.fits,2.7344284057617188,829,150158.67944543494
52,CoRoT-2260809075415.fits,2.716904878616333,744,152892.76265902625
53,CoRoT-2260809075716.fits,2.717926025390625,869,148372.84396088074
54,CoRoT-2260809080015.fits,2.720944404602051,698,154300.1601799015
55,CoRoT-2260809080316.fits,2.6973793506622314,929,153457.92488970605
56,CoRoT-2260809080616.fits,2.7544078826904297,838,149862.59487585028
57,CoRoT-2260809080916.fits,2.7524495124816895,819,148107.30551486797
58,CoRoT-2260809081215.fits,2.7215042114257812,866,149815.37377107085
59,CoRoT-2260809081515.fits,2.723454475402832,942,147613.51228556852
60,CoRoT-2260809081815.fits,2.73189640045166,800,148523.23204523072
61,CoRoT-2260809082115.fits,2.7180867195129395,705,149305.57335803873
62,CoRoT-2260809082416.fits,2.7238516807556152,764,147520.15117331262
63,CoRoT-2260809082715.fits,2.7139220237731934,939,146504.5949707169
64,CoRoT-2260809083016.fits,2.7140679359436035,936,144416.67471506883
65,CoRoT-2260809083315.fits,2.772298574447632,795,141471.27975759606
66,CoRoT-2260809083617.fits,2.735203266143799,774,143089.01627977157
67,CoRoT-2260809083916.fits,2.7530384063720703,698,142863.26695649463
68,CoRoT-2260809084216.fits,2.754601001739502,729,141465.9412171097
69,CoRoT-2260809084516.fits,2.7421040534973145,857,141027.8835372045
70,CoRoT-2260809084815.fits,2.7443573474884033,790,142240.7029888532
71,CoRoT-2260809085116.fits,2.798598527908325,782,137910.65878207792
72,CoRoT-2260809085417.fits,2.731874942779541,899,139652.5862691492
73,CoRoT-2260809085715.fits,2.7231340408325195,743,140826.35737247116
74,CoRoT-2260809090016.fits,2.73078989982605,789,141999.44069385756
75,CoRoT-2260809090315.fits,2.7121405601501465,850,136324.18764538868
76,CoRoT-2260809090615.fits,2.713810443878174,815,134963.4772817962
77,CoRoT-2260809090915.fits,2.7306511402130127,845,136252.0288049233
78,CoRoT-2260809091216.fits,2.722273111343384,659,126320.34810454788
79,CoRoT-2260809091515.fits,2.7320621013641357,907,119536.91981123472
80,CoRoT-2260809091815.fits,2.6990625858306885,888,120512.23882645306
81,CoRoT-2260809092116.fits,2.736055374145508,639,119295.4819255187
82,CoRoT-2260809092415.fits,2.7118752002716064,755,119187.01927912161
83,CoRoT-2260809092715.fits,2.729633331298828,843,117740.63239686006
84,CoRoT-2260809093016.fits,2.7266995906829834,878,115791.88199716927
85,CoRoT-2260809093315.fits,2.7387936115264893,649,116738.61131595993
86,CoRoT-2260809093615.fits,2.717400550842285,747,115307.86217594505
