source_id,ra,dec,g_mag
123252612070375296,46.40490927391,30.81652168962,8.025821
123175371378549632,46.43593161467,30.52669390713,8.057626
122933238302013952,47.43384144347,30.24893161949,8.105316
122529580095650176,47.98889306999,29.83172470075,8.143136
122677567488581888,48.73637683187,30.76526144154,8.257109
122147877762099200,47.56772293272,29.66576681818,8.385968
122517657266435584,48.06592906206,29.8186021628,8.38648
123351048424998784,48.23544109215,30.85361366114,8.641779
123151250842249984,46.28624225164,30.19405374832,8.747501
123622735172012032,47.39022537347,31.35264440759,8.747904
123448393859356288,48.46706592874,31.08295677963,8.877725
123779209420926720,47.51908471651,31.79845569769,8.906271
122994467355709952,46.94236625728,30.43726056021,8.94402
123200453987622656,46.70075800014,30.65564294005,8.992152
122990408610369280,46.99687717023,30.34028808109,9.037321
122151794772260224,47.82357970949,29.7263319112,9.158196
123629091723596928,47.45450103038,31.39858892877,9.161785
123268894289826432,46.24344258207,30.9276137912,9.177426
123518487725600000,48.04406478057,31.41936897337,9.30568
123335487759453312,48.29261381388,30.73113370146,9.333312
122969178588283520,46.7271470096,30.29619488415,9.406639
123402248731077888,48.00023133568,30.99911274387,9.411535
122973370476437888,47.2193532769,30.20974055633,9.417109
122968044716918400,46.79379668801,30.26630077164,9.459567
122148079624768512,47.51092097237,29.63500300643,9.558645
123520343151381888,47.85807974805,31.37351500316,9.595372
123398572238992256,47.78536657947,30.92406607877,9.626737
123251405183126016,46.44124973189,30.74764664159,9.691526
122574930654748672,48.44656995485,30.41334902673,9.719985
123528933085957504,48.12886241679,31.57949921874,9.740647
122572564128315136,48.29682308361,30.4232898435,9.800303
122672173009669760,48.70131800667,30.65785573384,9.842879
123656162901141760,46.65083767512,31.29708071555,9.95261
122896645180698112,47.00248715661,29.88395200991,9.970907
122581905681634304,48.52497440042,30.63858635853,9.999706
123245259086696576,46.19772206515,30.89194665412,10.007372
123606311217085184,47.49363022134,31.22141309762,10.024112
123422035644448384,47.91946129017,31.2558268478,10.082353
123709283056919040,47.8468299605,31.49669664561,10.103647
122145163342766464,47.71941318797,29.62229683502,10.120561
123284394828323840,46.45649722721,31.26570847784,10.21206
122949662256907392,46.92934791414,30.02541606302,10.237041
123199113957830784,46.6165214413,30.6337797046,10.258418
123202137614797824,46.68245276651,30.73138252738,10.269751
123617714353924096,47.58114472771,31.43319747125,10.278272
122989175956010240,47.02692848606,30.26738867359,10.284882
122862006268209536,46.37703926627,29.88217888829,10.30411
123185473141706368,46.72849664105,30.50213547702,10.325671
123445198403709056,48.3640430023,30.93426815775,10.328129
123419050643030784,47.85408634398,31.15645831225,10.444191
123447122549046400,48.47312706586,31.00253364175,10.45563
123425093661162880,47.82006007536,31.29047915259,10.463898
122518310101463808,48.05251438189,29.85863236664,10.470975
122562836026118784,48.6687206495,30.36854938307,10.489834
123450489803725824,48.24787238335,31.05979669254,10.514537
123259655816728832,46.58027225578,30.87175548267,10.518
122534905855414272,47.92065368403,30.01086734497,10.589457
123000720828087808,47.06985332752,30.48778705942,10.603951
123399121994800384,47.83831602261,30.9593766736,10.614314
123733747190623104,47.60413316573,31.82371350733,10.626416
123294771469545472,47.79209272928,30.32309883287,10.667926
123452139070845184,48.28510578576,31.09920203726,10.675955
122966601607916416,46.62656344908,30.20811661674,10.700633
122145850537535744,47.6750894775,29.62249217947,10.738271
123644691044751232,46.77097360943,31.26335565237,10.782295
122996563299818240,47.1818961618,30.43870803515,10.782825
123443274258327936,48.64278551754,31.09534035916,10.798423
122889463995638016,46.85301013139,29.73494259197,10.806792
123211964499956864,46.73162993038,30.85888333656,10.814519
122886646496856192,46.85992255946,29.64652953344,10.858653
123160321813232896,46.53097539811,30.39501106688,10.86299
123348956776892288,48.15060400258,30.7900318801,10.869471
123661561676285440,46.49562393319,31.40859882732,10.873657
123614351395940352,47.77076565181,31.36953880858,10.892062
123640911473655168,46.86008436846,31.1994112539,10.910214
123351499397510528,48.26480073775,30.8883911638,10.918137
122527174914018944,48.21160756599,30.04601627596,10.928337
123443274258327552,48.65023994282,31.09319762457,10.929101
122145197702503040,47.73887381727,29.63265087861,10.949087
122936433757741952,46.85859511495,29.76940955408,10.963341
123146126945317248,46.4271567495,30.06648559016,10.977063
123246633475825664,45.99479779555,30.82253218204,10.986609
122974538707648768,47.07094742416,30.16808604392,10.990549
123576005927891712,47.13378383711,31.012079549,10.992151
123253638566115968,46.55441286089,30.84193321085,11.009876
123263950784000000,46.68176167579,31.10866954054,11.015184
122845483530256000,46.50375511985,29.75074641137,11.026643
123334216449125504,48.40130411454,30.73201252345,11.029376
122961035330309120,46.76013584326,30.06427459216,11.030926
122979005473524352,47.29784687306,30.24771768829,11.035287
122978249559285760,47.27591254032,30.19035832893,11.06002
123161868001458432,46.5285964943,30.407064891,11.063141
122579092478600832,48.39649920923,30.50077546521,11.067879
122532363234446208,48.13026441425,29.97911089502,11.069095
123354690557260416,48.15392216814,30.93689514959,11.07443
123614729353060992,47.75969704454,31.4067188624,11.080632
123615549690407040,47.73518424845,31.427636503,11.107308
123319716639575168,47.8793030247,30.60095391109,11.113159
122123722866035456,47.50028993642,29.58470584471,11.129228
123211036787015424,46.83235596756,30.90438431522,11.139546
135295872167021056,46.35524361933,31.40273989684,11.149551
123416606805791360,47.66290142947,31.11060090893,11.15204
123599439269439232,46.98554768021,31.18838099983,11.152914
123267829138398336,46.53113475028,31.14923170592,11.196545
122979623948816512,47.21158919046,30.25371717633,11.200477
122889704513559680,46.94006507758,29.76870215988,11.201068
123289170832198784,47.9194378886,30.18376163676,11.201908
123121907625515264,46.03001242829,30.35601089305,11.209316
123231102874170880,46.24428859548,30.711952671,11.219522
122950242076223360,46.97577054097,30.08094171449,11.223207
123264053863234176,46.4892736065,30.96902146442,11.241417
122527174912891392,48.21210953692,30.04580595123,11.245902
