source_id,ra,dec,g_mag,x_ref,y_ref
122933238302013952,47.43384144347,30.24893161949,8.105316,196.09790290148686,498.08142894659005
122994467355709952,46.94236625728,30.43726056021,8.94402,491.05352501947124,364.3516259039817
123200453987622656,46.70075800014,30.65564294005,8.992152,634.5685694227606,210.3564224338764
122990408610369280,46.99687717023,30.34028808109,9.037321,458.9007834443653,432.3403361855346
122969178588283520,46.7271470096,30.29619488415,9.406639,621.7159098709545,461.37654693225403
122973370476437888,47.2193532769,30.20974055633,9.417109,325.6010153094984,524.5808458451036
122968044716918400,46.79379668801,30.26630077164,9.459567,581.7926571191413,482.7020635820382
123398572238992256,47.78536657947,30.92406607877,9.626737,-16.98814258716655,27.807240560141736
122949662256907392,46.92934791414,30.02541606302,10.237041,501.79351571977287,651.6784073396916
123199113957830784,46.6165214413,30.6337797046,10.258418,685.3345829179832,224.97954873729094
123202137614797824,46.68245276651,30.73138252738,10.269751,644.9066888399698,157.3702360228677
122989175956010240,47.02692848606,30.26738867359,10.284882,441.27272676429243,483.381209182589
123185473141706368,46.72849664105,30.50213547702,10.325671,619.1918388980469,317.67573835360724
123259655816728832,46.58027225578,30.87175548267,10.518,704.904850322083,58.63227616563694
123000720828087808,47.06985332752,30.48778705942,10.603951,414.03832023640337,329.8153024195067
123399121994800384,47.83831602261,30.9593766736,10.614314,-48.73665801834858,3.2361905506696758
123294771469545472,47.79209272928,30.32309883287,10.667926,-19.993958006615003,447.19842575298503
122996563299818240,47.1818961618,30.43870803515,10.782825,346.93280108904753,364.62628694584066
123211964499956864,46.73162993038,30.85888333656,10.814519,614.3512152034849,68.75585828042665
123160321813232896,46.53097539811,30.39501106688,10.86299,738.97914621195,390.91560438493616
122974538707648768,47.07094742416,30.16808604392,10.990549,415.3559971396231,552.9186822714171
123576005927891712,47.13378383711,31.012079549,10.992151,372.55974905673696,-35.712651709579745
123253638566115968,46.55441286089,30.84193321085,11.009876,720.6744430234771,79.23561361570125
122979005473524352,47.29784687306,30.24771768829,11.035287,278.0836152415526,498.4179057835177
122978249559285760,47.27591254032,30.19035832893,11.06002,291.58754678855945,538.3547280578416
123161868001458432,46.5285964943,30.407064891,11.063141,740.2960407347296,382.48457501112676
123319716639575168,47.8793030247,30.60095391109,11.113159,-72.8505660963425,253.40546711416775
