source_id,ra,dec,g_mag,x_ref,y_ref,reference_flux,reference_snr
123185851097644416,46.71682974771,30.5266131267,12.986001,626.0016693785682,300.5112293105286,121327.78125,1276.3328906512613
122969178588283520,46.7271470096,30.29619488415,9.406639,621.7159098709545,461.376546932254,25493.55859375,1173.7250943596123
123000720828087808,47.06985332752,30.48778705942,10.603951,414.03832023640337,329.8153024195067,8544.923828125,584.1265381881975
122996563299818240,47.1818961618,30.43870803515,10.782825,346.9328010890476,364.6262869458407,7669.31689453125,487.73400694579624
123211964499956864,46.73162993038,30.85888333656,10.814519,614.3512152034849,68.75585828042665,6618.46240234375,449.87563970175984
123211036787015424,46.83235596756,30.90438431522,11.139546,553.6630021557675,37.69589995455272,5228.951171875,332.0465900149304
123185473141706368,46.72849664105,30.50213547702,10.325671,619.1918388980469,317.67573835360724,6036.048828125,316.9238420706288
122996047903675776,47.08123216488,30.376396052,11.553802,407.87705333426334,407.6060964487178,3634.061767578125,312.3418968197717
123398018187344128,47.71067367146,30.91704872134,11.495265,27.742340220133457,32.57897960008597,3646.463134765625,289.628847549189
122979898826720000,47.27916993866,30.28078847317,11.252111,289.180928355001,475.2618628330727,4528.88671875,275.57304857361373
