source_id,ra,dec,g_mag,x_ref,y_ref,reference_flux,reference_snr
1909857749058181248,348.48925320587614,31.391578766320475,9.763651847839355,503.110002466841,237.11427623254048,10973.4404296875,538.3291861883622
1909745770670393088,349.13362346001026,31.34362969450532,9.786184310913086,119.74015010003662,271.95158288382106,11053.0166015625,524.700119275044
1909748107132606080,349.26751446420604,31.35399158144385,9.926473617553713,40.075303675890574,264.693245186005,9900.1494140625,466.46035987044274
1909663582176390912,348.71576272138776,31.24081782759009,10.305005073547363,369.1201054631304,343.1298173048854,6222.37890625,382.2863871205456
1909857611619156224,348.4463646706556,31.40117810472985,10.301071166992188,528.5581800763791,230.21612225831572,6932.66748046875,311.81368300309424
1909851048909501184,348.3708732652664,31.32667197345081,10.413515090942385,574.2782192906329,281.96248116256186,6110.85791015625,297.25970271620145
1909765699318632576,349.09215592493774,31.52735518543757,10.986907958984377,144.06838262861342,143.86710568035545,3652.41259765625,261.5021730155022
1909770097365204224,348.9984778164771,31.605562996776865,11.106218338012695,199.3051614373519,89.16395273590325,3331.914794921875,245.8719019338652
1909954403001820032,348.6280709216184,31.57729054695544,10.84163761138916,418.9752722650272,107.84291987754092,3822.94287109375,237.30837317498157
1909654854802763392,348.5262945923064,31.078515077696174,10.51314640045166,483.373421688129,455.8699305954024,4195.17919921875,223.56390247193505
