frame_index,file_name,mjd_utc,weather,background_rms,shift_x,shift_y,registration_stars,target_flux,target_snr,comp_1_flux,comp_1_snr,comp_2_flux,comp_2_snr,comp_3_flux,comp_3_snr,comp_4_flux,comp_4_snr,comp_5_flux,comp_5_snr,comp_6_flux,comp_6_snr,comp_7_flux,comp_7_snr,comp_8_flux,comp_8_snr,comp_9_flux,comp_9_snr,comp_10_flux,comp_10_snr,bjd_tdb,ensemble_flux,differential_flux,accepted,hours_from_expected_mid,detrended_flux,transit_model
0,WASP-10260808054017.fits,61260.23634722222,15.0,2.055257797241211,3.5522656975670373,9.89587679623186,0,21.5,1.3672193709708864,0.5,0.03245145179581061,-16.5,-1.038923575091603,-20.5,-1.2783122018320514,-23.0,-1.4626067689455995,-42.5,-2.7300816455005044,25.5,1.6215857655701211,-1.0,-0.06423721518824717,2.5,0.16225725897905308,-7.0,-0.4451411905486607,17.0,1.0810571770467474,2461260.740387964,-0.001480758463082117,-19.35944813511218,False,-3.777596063911915,-18.951025747727268,1.0
1,WASP-10260808054215.fits,61260.23834722222,15.0,2.003479480743408,3.5522656975670373,9.89587679623186,1,-5.5,-0.3497537925739477,12.5,0.8112862948952654,18.5,1.1648537054057369,-19.5,-1.2159555090597562,-9.0,-0.572324387848278,2.5,0.1605930379706179,29.5,1.8759521601693558,-1.5,-0.09635582278237075,-7.5,-0.48677177693715923,-2.0,-0.190774795949426,0.0,0.0,2461260.7423880887,-0.0003376477208778841,21.718888888888888,False,-3.7295930720865726,21.260689854007346,1.0
2,WASP-10260808054517.fits,61260.24034722222,15.0,2.0516462326049805,9.40098620748472,8.717312335072592,1,-16.5,-1.5433281461143062,-53.5,-3.402150527764764,5.5,0.3463078583638677,6.0,0.37414015663377115,17.0,1.0810571770467474,74.0,4.853639718892126,-4.0,-0.2543663945992347,5.0,0.467675195792214,2.5,0.15741266289266714,1.0,0.0623566927722952,5.5,0.3533046835353594,2461260.7443882134,0.0011400413354989924,-19.297545900272706,False,-3.6815900802612305,-18.890429451898097,1.0
3,WASP-10260808054815.fits,61260.24234722222,15.0,2.019402265548706,3.777186615790015,9.693117213921568,0,2.5,0.15897899662452167,27.0,1.7169731635448342,26.0,1.6212740120796751,-26.0,-1.6533815648950254,13.0,0.8266907824475127,3.0,0.18889519547120057,26.0,1.6370916940837381,46.0,2.925213537891199,14.5,0.9410921020785078,-1.0,-0.06359159864980868,35.0,2.2257059527433034,2461260.7463883376,0.003874150692084354,0.860403633793591,False,-3.633587099611759,0.8422518712135779,1.0
4,WASP-10260808055116.fits,61260.24434722222,15.0,2.0621471405029297,3.777186615790015,9.693117213921568,0,51.5,3.2749673304651465,44.0,2.7980303405915814,-23.0,-1.4342039337627894,5.0,0.31795799324904334,-25.0,-1.5897899662452168,8.5,0.5352030538350683,13.5,0.8500283796204026,-10.0,-0.6359159864980867,15.5,1.5089925085051936,11.0,0.6995075851478953,28.0,1.7805647621946428,2461260.748388462,0.002687232851399641,25.55292766345192,False,-3.585584118962288,25.01384268292231,1.0
5,WASP-10260808055415.fits,61260.24634722222,15.0,1.9919673204421997,3.777186615790015,9.693117213921568,0,-16.5,-1.0492613777218431,38.0,2.4164807486927296,-1.0,-0.0623566927722952,27.0,1.7169731635448342,13.0,1.240036173671269,-15.0,-0.9444759773560027,9.0,0.5666855864136017,-12.0,-1.144648775696556,-4.5,-0.29206306616229555,4.0,0.2543663945992347,42.0,2.6708471432919643,2461260.7503885864,0.0019568009948622927,-11.242839745974383,False,-3.5375811271369457,-11.005651814893401,1.0
6,WASP-10260808055715.fits,61260.24834722222,15.0,2.0535876750946045,3.777186615790015,9.693117213921568,0,5.5,0.5246306888609216,12.0,0.763099183797704,-15.0,-0.9353503915844279,8.0,0.763099183797704,18.0,1.144648775696556,22.5,1.4167139660340042,12.5,0.7870633144633357,-13.0,-0.8266907824475127,8.5,0.5516746805287804,8.0,0.5087327891984694,39.0,3.7201085210138074,2461260.7523887106,0.0032264026394403346,2.2729132575360786,False,-3.4895781464874744,2.2249620632415454,1.0
7,WASP-10260808060016.fits,61260.25034722222,15.0,2.0608363151550293,3.777186615790015,9.693117213921568,0,23.0,1.2536629448105137,49.0,3.115988333840625,9.0,0.5612102349506568,12.0,0.763099183797704,2.0,0.12718319729961736,-23.0,-1.4481964986125375,-1.5,-0.09444759773560028,-16.0,-1.0174655783969389,23.5,1.525218234403099,-2.0,-0.190774795949426,28.0,1.7805647621946428,2461260.7543888353,0.0009207545016020613,33.30601871976556,False,-3.4415751546621323,32.60336833506055,1.0
8,WASP-10260808060316.fits,61260.252347222224,0.0,2.0795137882232666,3.777186615790015,9.693117213921568,1,13.0,0.7085920992407252,25.0,1.5897899662452168,17.0,1.0600637771290182,-36.0,-2.289297551393112,16.0,1.0174655783969389,-0.75,-0.040477541886685835,-0.5,-0.02361189943390007,22.0,1.3990151702957907,-2.5,-0.16225725897905308,3.0,0.190774795949426,20.0,1.2718319729961733,2461260.7563889595,0.0019179300103400866,9.037521306765408,False,-3.393572174012661,8.846858535678635,1.0
9,WASP-10260808060616.fits,61260.254347222224,0.0,2.0593910217285156,4.176478512407897,10.273571642144816,1,25.0,1.5897899662452168,-7.5,-0.4722379886780014,4.0,0.381549591898852,-37.0,-2.376776961965145,-2.0,-0.1259301303141337,-35.5,-2.2575017520682077,2.5,0.15897899662452167,3.5,0.220377728049734,11.0,0.6859236204952471,-6.5,-0.41754189872360653,28.5,1.812360561519547,2461260.7583890837,6.855336339546542e-05,486.2392110660208,False,-3.3455691933631897,475.98112013089974,1.0
10,WASP-10260808060915.fits,61260.256347222225,0.0,2.1020426750183105,3.993686184363696,10.01791977507699,1,-14.0,-0.8993210126354603,9.5,0.610253544288348,-7.0,-0.44966050631773014,-28.0,-1.763021824397872,1.5,0.09635582278237075,12.0,0.763099183797704,23.0,1.4774559493296846,-13.5,-0.8761891984868866,0.0,0.0,-8.5,-0.5460163291001009,28.0,1.763021824397872,2461260.760389208,0.00017688679245283018,-105.5288888888889,False,-3.2975662127137184,-103.3025671240703,1.0
11,WASP-10260808061216.fits,61260.25934722222,0.0,2.069873571395874,4.607704441110073,11.666781373586481,0,-5.5,-0.5144427153714354,20.0,1.247133855445904,46.5,2.8995862139117268,19.5,1.240036173671269,-46.0,-2.896392997225075,5.5,0.3497537925739477,36.0,2.2667423456544067,-8.0,-0.4988535421783616,-6.0,-0.385423291129483,-11.0,-0.6859236204952471,15.0,0.9635582278237074,2461260.763389394,0.002051463437078076,-3.5746839065181137,False,-3.2255617417395115,-3.4992695184086413,1.0
12,WASP-10260808061516.fits,61260.26134722222,0.0,2.077145576477051,4.607704441110073,11.666781373586481,2,25.5,1.5900956656935274,5.0,0.311783463861476,-5.5,-0.2939672659265345,9.5,0.6041201871731824,-4.5,-0.28334279320680084,-5.5,-0.3497537925739477,52.0,3.2741833881674762,-6.0,-0.37414015663377115,13.0,0.8350837974472131,-27.0,-1.6836307048519703,21.5,1.381100126547314,2461260.7653895183,-6.75283345194535e-05,-503.49235238735696,False,-3.17755876109004,-492.870275396478,1.0
13,WASP-10260808061816.fits,61260.26334722222,0.0,2.0829153060913086,4.052306526274521,9.880985835200704,1,16.0,1.5111615637696045,20.0,1.2847443037649433,-12.5,-0.7870633144633357,-24.0,-1.526198367595408,2.0,0.12847443037649434,-20.5,-1.2907838357198704,7.0,0.440755456099468,-1.5,-0.09444759773560028,17.5,1.1128529763716517,17.0,1.0920326582002018,48.5,3.0841925345157204,2461260.7673896425,0.0011104664115110018,19.211146876838225,False,-3.129555780440569,18.805853171300736,1.0
14,WASP-10260808062115.fits,61260.26534722222,0.0,2.0907557010650635,3.894698096904534,10.145233812790508,1,7.0,0.688692122275234,-2.0,-0.12980580718324244,36.0,2.2667423456544067,19.5,1.2526256961708195,-8.25,-0.6359484303636469,-1.0,-0.0623566927722952,5.5,0.3497537925739477,18.0,1.1806150667575441,48.0,4.533484691308813,4.0,0.2596116143664849,9.5,0.610253544288348,2461260.7693897667,0.0025142699369782254,3.712144506071054,False,-3.0815527997910976,3.6338301393129675,1.0
15,WASP-10260808062415.fits,61260.26734722222,0.0,2.108644485473633,3.622338237877784,9.996152000162525,1,-1.0,-0.09444759773560028,5.5,0.3463078583638677,8.5,0.5352030538350683,-4.0,-0.2543663945992347,0.5,0.03148253257853342,-2.5,-0.15741266289266714,47.0,3.0827171187558093,-10.0,-0.7555807818848023,44.25,2.4364258046399456,6.0,0.381549591898852,36.5,3.516987531556532,2461260.771389891,0.001032982634775833,-1.2907606463516972,False,-3.0335498191416264,-1.2635297283499947,1.0
16,WASP-10260808062715.fits,61260.26934722222,0.0,2.0940310955047607,4.254137078605567,9.855885485040943,1,31.5,2.003135357468973,-23.0,-1.4626067689455995,-1.5,-0.09635582278237075,3.0,0.18707007831688557,10.0,0.6359159864980867,-12.5,-0.8029651898530895,38.5,2.448276548017634,11.0,0.6995075851478953,26.5,1.6851773642199297,9.5,0.5923885813368044,17.0,1.0810571770467474,2461260.773390015,0.003155941079939384,13.308233245218474,False,-2.985546838492155,13.027472122486405,1.0
17,WASP-10260808063015.fits,61260.271347222224,0.0,2.0569047927856445,3.5701665325646275,10.008403891034249,0,29.5,1.8574694221334722,-17.0,-1.0704061076701366,18.5,1.7646668625321906,-9.0,-0.572324387848278,-7.25,-0.5477960668664816,-7.5,-0.4722379886780014,-0.5,-0.032118607594123584,-12.75,-0.9633654969031229,9.5,0.6041201871731824,-27.5,-1.7315392918193384,10.0,0.7788348430994548,2461260.7753901393,-0.0016312498931981242,-24.11238982901566,False,-2.937543857842684,-23.603695585729827,1.0
18,WASP-10260808063315.fits,61260.273347222224,0.0,2.113898992538452,3.5701665325646275,10.008403891034249,1,11.0,0.6926157167277354,14.5,0.9129934447774694,7.5,0.47693698987356503,34.0,2.594537224912194,-7.0,-0.440755456099468,-4.5,-0.28334279320680084,-14.0,-0.8993210126354603,-6.0,-0.28334279320680084,30.5,1.9395437588191644,24.5,1.5426440963481378,-2.0,-0.12980580718324244,2461260.7773902635,0.0002121066400718718,69.14760736248947,False,-2.8895408771932125,67.68881418389049,1.0
19,WASP-10260808063615.fits,61260.275347222225,0.0,2.1550817489624023,3.8457751735011243,9.989065784940138,1,4.5,0.2890674683471122,-5.0,-0.32794862965487337,28.0,1.763021824397872,18.25,0.9849535192426887,-44.0,-2.855727758031334,-39.5,-2.537369999935763,-16.5,-1.0708979092617503,-20.0,-1.2980580718324246,17.5,1.1241512657943253,28.0,1.763021824397872,33.5,2.1093296827617394,2461260.7793903877,0.0012231329403452076,4.905435707018574,False,-2.8415378965437412,4.801946715563802,1.0
20,WASP-10260808063915.fits,61260.277347222225,0.0,2.105861186981201,3.83876012870698,10.009845519221273,1,35.5,1.6931263140511559,14.5,0.9410921020785078,32.5,2.046364617604673,-14.0,-0.881510912198936,-3.5,-0.22483025315886507,-4.0,-0.2569488607529887,19.0,1.2462047926885187,5.0,0.32451451795810615,2.0,0.12718319729961736,-12.0,-0.763099183797704,-27.5,-1.7487689628697385,2461260.7813905114,8.527211907088624e-05,555.0856932966026,False,-2.793534927070141,543.3751619592849,1.0
21,WASP-10260808064216.fits,61260.279347222226,0.0,2.0958657264709473,3.3502394433462825,9.880852161558465,0,22.5,1.4167139660340042,17.5,1.1128529763716517,-12.5,-0.7948949831226084,14.5,0.9041720451982803,0.0,0.0,-5.0,-0.32794862965487337,6.5,0.41334539122375635,-17.5,-1.1128529763716517,20.0,0.9538739797471301,-0.5,-0.03179579932490434,29.5,1.8395224367827083,2461260.7833906356,0.000812144686699569,36.93923076923077,False,-2.7455319464206696,36.159931239944676,1.0
22,WASP-10260808064516.fits,61260.281347222226,0.0,2.1190428733825684,3.3502394433462825,9.880852161558465,1,-9.0,-0.5666855864136017,-22.5,-1.4308109696206952,-10.5,-0.6677117858229911,-3.5,-0.21824842470303318,1.0,0.06490290359162122,-10.5,-0.688692122275234,53.5,3.402150527764764,-13.5,-0.8584865817724171,51.0,3.2431715311402423,-4.5,-0.286162193924139,47.5,2.9619429066840217,2461260.7853907594,-0.0011009496547794533,10.899680968975725,False,-2.697528976947069,10.6697325896617,1.0
23,WASP-10260808064816.fits,61260.28434722222,0.0,2.1033008098602295,3.6748342672475474,10.2132186384911,1,6.5,0.41754189872360653,29.0,1.8259868895549387,22.0,1.3990151702957907,6.5,0.41334539122375635,-4.5,-0.34339463270896686,19.0,1.2082403743463648,19.5,1.2526256961708195,-8.0,-0.6104793470381633,26.0,1.6370916940837381,-22.0,-2.077847150183206,3.5,0.22956404075841133,2461260.7883909456,0.0023018471304925418,3.7650921956803454,False,-2.6255245059728622,3.6856608021534267,1.0
24,WASP-10260808065115.fits,61260.28634722222,0.0,2.1107676029205322,4.244563416126027,10.152858489847532,1,46.0,3.510256245469439,11.5,0.7313033844727997,17.5,1.1478202037920566,12.5,0.7870633144633357,7.5,0.47693698987356503,-18.5,-0.8823334312660953,28.75,1.5516391056562904,-24.5,-2.3607176581680833,58.0,3.6166881807931213,-12.0,-1.1682522646491822,24.5,1.5426440963481378,2461260.7903910694,0.001962624327555047,31.250674146967167,False,-2.577521536499262,30.59138495373117,1.0
25,WASP-10260808065415.fits,61260.288347222224,0.0,2.105703353881836,3.4079677193415137,9.921008152816768,0,12.5,0.7948949831226084,15.0,0.9444759773560027,6.0,0.385423291129483,7.5,0.46767519579221395,3.5,0.220377728049734,1.0,0.06423721518824717,48.5,3.0538056601177423,-1.5,-0.095387397974713,24.0,1.5111615637696045,15.5,0.995676835417831,26.5,2.478678537698734,2461260.792391193,0.0016999891981130378,9.803983863642436,False,-2.5295185670256615,9.597151185999644,1.0
26,WASP-10260808065715.fits,61260.290347222224,0.0,2.0766007900238037,3.4079677193415137,9.921008152816768,1,-18.5,-1.1764445750214605,-5.5,-0.3463078583638677,5.0,0.3211860759412358,-13.5,-0.8418153524259852,5.5,0.3463078583638677,-45.5,-2.9227932910652457,19.0,1.1963362379842701,-26.5,-1.6851773642199297,47.0,2.959358062382142,-14.5,-0.9314396202295838,39.5,3.6946340467584906,2461260.7943913173,-5.624467278401383e-06,4385.600528140607,False,-2.48151558637619,4293.078395003399,1.0
27,WASP-10260808070016.fits,61260.292347222225,0.0,2.0504300594329834,3.792255334667999,10.558931287397144,1,32.5,2.046364617604673,32.0,2.014882085026139,21.0,1.309490548218199,3.5,0.220377728049734,-13.0,-0.8185458470418691,17.0,1.0810571770467474,61.5,3.8723515071596113,1.0,0.06359159864980868,40.5,2.5500851388612076,0.0,0.0,50.5,4.817063597723007,2461260.796391441,0.0035990543245816922,12.040199848433753,False,-2.43351261690259,11.786190171485888,1.0
28,WASP-10260808070315.fits,61260.294347222225,7.0,1.9856083393096924,3.767429231865549,10.18392702906037,0,48.5,3.1477908241936294,20.0,1.2593013031413371,-0.5,-0.0476936989873565,14.5,1.3971594303443757,8.5,0.8028045807526024,-31.5,-1.9833995524476058,18.5,1.1883884809825724,-4.0,-0.2569488607529887,6.5,0.6139093852814018,13.5,0.8672024050413367,16.0,1.5576696861989094,2461260.7983915647,0.0026548007956554397,24.35838755679641,False,-2.3855096474289894,23.844503548876258,1.0
29,WASP-10260808070615.fits,61260.296347222225,7.0,2.01600980758667,3.767429231865549,10.18392702906037,1,7.5,0.48677177693715923,33.5,2.1093296827617394,2.0,0.15261983675954083,-3.5,-0.22483025315886507,30.0,2.8334279320680085,-30.5,-1.920434487290539,35.0,2.2483025315886507,-11.0,-0.7066093670707188,40.0,2.5186026062826743,-20.5,-1.3168629113590669,2.0,0.12980580718324244,2461260.8003916885,0.0005108491074263208,19.575251976812524,False,-2.337506677955389,19.162276819141034,1.0
